City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Sioux Lookout,CA,2021-03-24 19:20:27,50.1001,-91.917,26.6,80,90,8.05
213,Pemangkat,ID,2021-03-24 19:20:28,1.1667,108.9667,75.65,90,100,4.85
214,Adelaide,AU,2021-03-24 19:20:28,-34.9333,138.6,64.0,67,20,17.27
215,Miraflores,MX,2021-03-24 19:20:28,19.2167,-98.8083,80.6,7,1,6.91
216,Lavrentiya,RU,2021-03-24 19:20:28,65.5833,-171.0,9.36,96,75,2.95
217,Hay River,CA,2021-03-24 19:17:14,60.8156,-115.7999,-5.8,65,100,5.75
218,Ambilobe,MG,2021-03-24 19:20:29,-13.2,49.05,76.1,91,75,2.44
219,Ngunguru,NZ,2021-03-24 19:20:29,-35.6167,174.5,54.0,96,5,1.99
220,Cockburn Town,TC,2021-03-24 19:20:29,21.4612,-71.1419,78.24,70,0,14.81
221,Thompson,CA,2021-03-24 19:20:29,55.7435,-97.8558,10.4,48,20,9.22
222,Freeport,US,2021-03-24 19:20:30,40.6576,-73.5832,57.99,77,1,13.8
223,Olinda,BR,2021-03-24 19:20:30,-8.0089,-34.8553,80.6,69,40,8.05
224,Port Blair,IN,2021-03-24 19:20:30,11.6667,92.75,81.84,77,18,5.84
225,Pangnirtung,CA,2021-03-24 19:20:30,66.1451,-65.7125,-23.8,57,40,2.3
226,New Norfolk,AU,2021-03-24 19:20:31,-42.7826,147.0587,61.0,84,100,3.42
227,Ca Mau,VN,2021-03-24 19:20:31,9.1769,105.15,80.02,76,100,11.68
228,Saint Anthony,US,2021-03-24 19:20:31,45.0205,-93.218,41.0,87,90,11.5
229,Victoria,HK,2021-03-24 19:16:15,22.2855,114.1577,71.01,77,0,4.38
230,Umm Lajj,SA,2021-03-24 19:20:32,25.0213,37.2685,74.91,42,0,11.54
231,Waterloo,CA,2021-03-24 19:16:38,43.4668,-80.5164,64.4,59,90,14.97
232,Arroyo,ES,2021-03-24 19:20:32,41.6096,-4.7969,55.4,35,0,5.68
233,Pisco,PE,2021-03-24 19:20:32,-13.7,-76.2167,75.2,64,0,11.5
234,Khandyga,RU,2021-03-24 19:20:32,62.6667,135.6,-22.94,99,100,2.84
235,Noshiro,JP,2021-03-24 19:20:33,40.2039,140.0242,44.35,75,100,5.48
236,Raudeberg,NO,2021-03-24 19:20:33,61.9875,5.1352,41.0,85,100,24.63
237,Constantine,DZ,2021-03-24 19:19:50,36.365,6.6147,44.6,61,0,3.44
238,Ketchikan,US,2021-03-24 19:20:33,55.3422,-131.6461,41.0,100,90,4.61
239,Rocha,UY,2021-03-24 19:20:33,-34.4833,-54.3333,78.04,49,2,9.84
240,Ulladulla,AU,2021-03-24 19:20:34,-35.35,150.4667,69.01,68,59,16.11
241,Macia,MZ,2021-03-24 19:20:34,-25.0269,33.0989,66.24,77,39,4.99
242,Fairbanks,US,2021-03-24 19:20:34,64.8378,-147.7164,17.01,92,90,2.51
243,Owando,CG,2021-03-24 19:20:34,-0.4819,15.8999,73.63,92,100,1.72
244,Bontang,ID,2021-03-24 19:20:35,0.1333,117.5,77.95,86,95,6.2
245,Shache,CN,2021-03-24 19:20:35,38.4167,77.2406,56.43,24,100,7.14
